Id,CodeArticle,CodeBarre,Libelle,CodeDim1,LibelleDim1,CodeDim2,LibelleDim2,Fournisseur,FamilleNiv1,FamilleNiv2,FamilleNiv3,FamilleNiv4,FamilleNiv5,FamilleNiv6,FamilleNiv7,FamilleNiv8,Quantite_Achat,DateLibre,Prix_Vente_TND,Prix_Achat_TND,IdCategorie
63,ART000063,9463688725886,Danone Thé environment,DIM1-15,participant,DIM2-100,staff,One Tech Group,Automobiles,simply,tombe,entier,stay,changer,prêter,stock,14,2024-09-14,1159.48,829.21,CAT020
64,ART000064,2601279611430,IKEA Chaussures base,DIM1-92,masse,DIM2-26,positive,SOTUMAG,Maroquinerie,seek,dès,leg,droit,day,secrétaire,situation,89,2024-06-07,1661.99,1031.07,CAT016
65,ART000065,5302146566934,Coca-Cola Stylo voie,DIM1-88,celui,DIM2-77,she,Yazaki Tunisia,Maroquinerie,hand,draw,parvenir,paper,faible,montrer,repas,6,2024-01-26,697.67,510.91,CAT028
66,ART000066,5184894769733,Adidas Télévision stand,DIM1-83,responsibility,DIM2-44,watch,Groupe Poulina,Informatique,pluie,expression,mari,troubler,hésiter,head,vision,63,2023-07-12,215.55,156.73,CAT024
67,ART000067,1651827553942,Danone Pantalon vaincre,DIM1-20,précéder,DIM2-56,envoyer,One Tech Group,Bijouterie,faute,entendre,étranger,clearly,commander,trop,positive,84,2024-08-16,543.81,410.54,CAT035
68,ART000068,7595794728467,IKEA Pantalon rire,DIM1-94,avancer,DIM2-76,mean,Monoprix,Librairie,préparer,indeed,passé,vingt,four,âgé,manquer,32,2023-09-10,1662.31,1090.12,CAT006
69,ART000069,9428434795520,Sony Pantalon language,DIM1-97,noir,DIM2-60,his,Amen Bank,Parfumerie,far,couple,rideau,changement,summer,rencontre,total,86,2023-06-02,761.08,531.89,CAT002
70,ART000070,2702672885746,LG Cahier or,DIM1-63,million,DIM2-28,verser,Aziza,Sport & Loisirs,bande,exécuter,those,parler,ever,here,guy,44,2023-11-16,562.92,416.69,CAT039
71,ART000071,5939982455872,Adidas Livre visit,DIM1-2,marche,DIM2-67,major,Tunisie Telecom,Hygiène,demain,know,time,ça,jeune,haut,read,31,2024-07-05,1441.55,1024.99,CAT032
72,ART000072,9647598762203,Danone Lampe envoyer,DIM1-61,yeah,DIM2-83,écraser,Attijari Bank,Téléphonie,militaire,cesser,phrase,année,need,chasser,prepare,3,2023-03-07,190.64,129.8,CAT015
73,ART000073,4334722820056,Philips Lampe treat,DIM1-85,manage,DIM2-75,official,Aziza,Jouets,central,sans,program,need,when,meet,cela,71,2023-08-28,1064.19,850.64,CAT028
74,ART000074,6424008254786,Bosch Yaourt ventre,DIM1-46,your,DIM2-90,firm,Modern Leasing,Sport & Loisirs,obtenir,picture,accuser,current,us,indicate,découvrir,40,2024-10-05,506.55,377.0,CAT008
75,ART000075,3416389448468,Apple Cahier billet,DIM1-96,continuer,DIM2-69,bring,One Tech Group,Électroménager,prepare,expert,cup,after,autant,difficile,force,28,2023-04-08,1478.52,1101.37,CAT018
76,ART000076,0312073564755,L'Oréal Shampoing same,DIM1-37,inconnu,DIM2-13,cours,Tunisie Telecom,Automobiles,faux,away,course,être,them,commencer,matière,30,2023-07-11,724.96,437.03,CAT020
77,ART000077,3718376452084,LG Yaourt éviter,DIM1-36,pull,DIM2-6,decide,Délice Danone,Chaussures,very,tracer,cinq,souvenir,garden,delà,pattern,38,2023-11-04,1396.35,1015.95,CAT009
78,ART000078,0097925132718,Apple Parfum word,DIM1-2,bande,DIM2-74,quite,Carrefour Tunisie,Jouets,visite,composer,early,open,support,significant,ami,62,2023-10-06,883.74,700.89,CAT012
79,ART000079,4077848739283,Coca-Cola Livre game,DIM1-62,face,DIM2-15,blanc,SOTUMAG,Bébé & Enfant,parfois,ten,number,long,suivre,similar,aller,63,2024-08-25,152.79,112.65,CAT041
80,ART000080,5186387829450,LG Machine à laver put,DIM1-73,bring,DIM2-39,puis,SOTUMAG,Maison & Jardin,attendre,désormais,droit,poids,champ,réunir,really,16,2024-02-13,1118.36,806.63,CAT027
81,ART000081,0539103717053,Sony Fromage term,DIM1-100,study,DIM2-67,soi,Senia,Téléphonie,newspaper,blond,bank,propos,chanter,quelqu'un,customer,57,2024-02-13,598.22,477.38,CAT038
82,ART000082,9288619576128,L'Oréal Stylo rejeter,DIM1-80,mother,DIM2-8,really,Arab Tunisian Bank,Cosmétiques,quitter,worker,weight,oil,through,itself,that,98,2024-04-17,419.54,273.93,CAT014
83,ART000083,9836845776005,LG Télévision pick,DIM1-31,promener,DIM2-23,goût,STB,Hygiène,glace,élément,age,wide,cerveau,pauvre,clearly,21,2023-07-25,10.34,7.63,CAT029
84,ART000084,9334419693159,Philips Parfum consumer,DIM1-5,that,DIM2-30,science,Carrefour Tunisie,Automobiles,always,bar,intelligence,until,keep,ennemi,souvent,90,2023-02-12,1719.92,1268.4,CAT005
85,ART000085,8058925832062,Nestlé Livre soldier,DIM1-81,endormir,DIM2-76,figure,Tunisie Telecom,Informatique,choose,intérieur,place,regard,everybody,mince,staff,15,2024-08-14,1091.4,687.36,CAT042
86,ART000086,7837693898330,Coca-Cola Livre faux,DIM1-19,game,DIM2-10,ciel,Délice Danone,Électronique,land,happen,hors,phone,grand,juste,price,40,2023-12-09,1192.11,934.9,CAT037
87,ART000087,3352110392405,Apple Pantalon rule,DIM1-60,grand,DIM2-89,market,Carrefour Tunisie,Bébé & Enfant,inquiétude,rapide,drôle,official,prevent,vieillard,malade,35,2023-07-18,1003.44,689.92,CAT032
88,ART000088,0439407016459,Samsung Fromage allumer,DIM1-56,trip,DIM2-95,during,Géant,Parfumerie,movie,hésiter,trial,digne,préférer,option,aspect,33,2024-12-17,56.6,44.85,CAT015
89,ART000089,5762055543844,L'Oréal Pain sortir,DIM1-3,unit,DIM2-98,voice,Monoprix,Maroquinerie,remplir,down,je,realize,ce,near,neuf,6,2024-03-20,1527.4,1060.17,CAT012
90,ART000090,6495782329830,Nike Eau guerre,DIM1-36,observer,DIM2-24,tête,Amen Bank,Informatique,histoire,rentrer,devoir,those,appel,up,its,82,2023-12-11,1629.42,1130.82,CAT006
91,ART000091,2312209949997,Bosch T-shirt sec,DIM1-42,entraîner,DIM2-86,lier,Yazaki Tunisia,Électronique,véritable,center,seem,create,million,certain,docteur,43,2023-01-26,826.23,543.36,CAT032
92,ART000092,0463331279758,Coca-Cola Chaussures very,DIM1-98,nuit,DIM2-71,stand,Délice Danone,Téléphonie,seul,service,indeed,protéger,part,the,étendre,12,2024-07-25,632.46,394.14,CAT021
93,ART000093,8680347644727,Coca-Cola Chaussures financial,DIM1-66,vers,DIM2-1,pencher,STB,Téléphonie,believe,détacher,mériter,game,ago,partir,parvenir,53,2023-07-14,113.14,76.07,CAT034
94,ART000094,2111751868929,Nivea Parfum oil,DIM1-57,animal,DIM2-98,intéresser,Délice Danone,Électroménager,décider,dessiner,noir,for,fight,colère,droite,35,2024-04-28,1100.69,756.86,CAT019
95,ART000095,0777809733971,Nike Café it,DIM1-16,base,DIM2-4,été,Arab Tunisian Bank,Maison & Jardin,president,aussitôt,couvrir,terme,although,après,glass,91,2023-02-08,320.96,193.45,CAT036
96,ART000096,6224999827958,Apple T-shirt certain,DIM1-29,future,DIM2-15,water,Modern Leasing,Cosmétiques,ten,nuit,fuir,center,vieil,girl,network,83,2024-06-24,1665.13,1309.68,CAT032
97,ART000097,9019817946952,Adidas Stylo never,DIM1-91,within,DIM2-35,simplement,UTIC,Jouets,nature,mind,si,volonté,daughter,colon,pénétrer,61,2024-07-26,491.24,308.95,CAT036
98,ART000098,9660558303445,L'Oréal Table groupe,DIM1-66,move,DIM2-96,speak,Leoni AG,Hygiène,circonstance,growth,shake,descendre,inconnu,win,whom,36,2024-09-11,1546.49,1033.02,CAT027
99,ART000099,2727857608491,Philips Shampoing one,DIM1-1,éclairer,DIM2-37,successful,Carrefour Tunisie,Maroquinerie,attorney,fonction,inviter,produce,réunir,culture,guère,75,2024-07-05,1997.81,1544.41,CAT032
100,ART000100,4617357438422,Adidas Pantalon mais,DIM1-62,droit,DIM2-45,paix,Géant,Chaussures,plus,disparaître,wind,significant,stand,character,profond,98,2023-06-09,1089.14,856.69,CAT030
101,ART000101,7681040915702,Danone Table protéger,DIM1-31,agency,DIM2-74,purpose,Senia,Maison & Jardin,hôtel,dix,factor,spring,remain,figurer,dans,100,2023-03-30,824.5,617.5,CAT021
102,ART000102,9881385854249,Nestlé Café départ,DIM1-49,haine,DIM2-50,now,Leoni AG,Jouets,apply,appartenir,weight,chemin,arm,nu,country,5,2024-04-23,256.86,171.17,CAT038
103,ART000103,4538179217173,Coca-Cola Réfrigérateur return,DIM1-57,many,DIM2-13,enfant,BIAT,Téléphonie,soi,while,including,violent,story,long,all,2,2024-01-05,1446.28,1119.69,CAT027
104,ART000104,5772459928161,Apple Machine à laver imaginer,DIM1-61,goût,DIM2-34,institution,Géant,Parfumerie,edge,regard,pluie,attorney,detail,still,our,89,2024-02-27,797.98,614.73,CAT006
105,ART000105,2197199758176,Coca-Cola Jus groupe,DIM1-69,available,DIM2-49,veille,Géant,Jouets,generation,quite,cent,corde,course,particulier,in,70,2023-06-01,76.62,49.57,CAT005
106,ART000106,5494651909860,Philips Jus fusil,DIM1-30,l'une,DIM2-96,abandonner,SOTUMAG,Informatique,break,tree,épais,scientist,process,seek,into,13,2023-12-05,1521.94,1178.77,CAT046
107,ART000107,2723865624225,LG Pantalon bois,DIM1-89,couper,DIM2-39,really,Groupe Poulina,Boissons,century,contre,trade,wall,price,partout,old,42,2023-10-26,1593.31,1070.21,CAT019
108,ART000108,3269097384685,LG T-shirt along,DIM1-32,retenir,DIM2-68,sea,UTIC,Maroquinerie,budget,rock,coucher,make,puis,éteindre,professor,88,2024-06-15,1586.08,1007.18,CAT011
109,ART000109,9058077879563,Coca-Cola Fromage success,DIM1-49,figure,DIM2-80,armer,Orange Tunisie,Jouets,short,ask,particular,révéler,théâtre,table,frais,75,2023-03-06,290.52,211.38,CAT030
110,ART000110,8144294440196,Philips Pantalon santé,DIM1-86,toit,DIM2-2,hope,Modern Leasing,Automobiles,faim,poète,quart,jeune,courant,poursuivre,speech,87,2023-07-04,1095.46,754.06,CAT005
111,ART000111,2395041027672,L'Oréal Sac maybe,DIM1-39,manquer,DIM2-82,matter,UTIC,Sport & Loisirs,check,actually,within,idea,next,chaise,three,59,2024-04-19,1691.38,1352.89,CAT013
112,ART000112,5441496739381,Apple Parfum research,DIM1-31,haut,DIM2-49,trente,Amen Bank,Santé,bientôt,muet,pur,veille,have,forme,data,74,2023-01-19,595.27,392.31,CAT045
113,ART000113,0939111926926,IKEA Jus vieux,DIM1-36,éviter,DIM2-2,manage,Amen Bank,Boissons,supérieur,win,specific,role,even,bouche,standard,78,2023-10-25,1491.62,1126.39,CAT019
114,ART000114,5044271739622,L'Oréal Lampe boy,DIM1-46,rassurer,DIM2-29,discover,Tunisie Telecom,Parfumerie,ouvrage,board,bonheur,réussir,standard,after,church,33,2024-12-25,1357.14,1022.6,CAT047
115,ART000115,6425690877666,Coca-Cola Jus rare,DIM1-18,absolument,DIM2-81,risk,Yazaki Tunisia,Boissons,campaign,goal,institution,sous,lors,be,soon,40,2024-05-18,1578.28,1129.91,CAT003
116,ART000116,2806346157174,LG Thé côte,DIM1-12,docteur,DIM2-38,sauvage,Géant,Informatique,politique,at,money,admit,inviter,interrompre,monsieur,23,2023-06-14,405.59,314.45,CAT035
117,ART000117,8293102707904,Adidas Sac visite,DIM1-65,ah,DIM2-35,soutenir,One Tech Group,Sport & Loisirs,gros,passage,sans,chemise,poussière,beau,nouveau,62,2024-09-22,1934.93,1449.87,CAT019
118,ART000118,5198253092516,Nestlé Cahier fille,DIM1-15,naturellement,DIM2-60,vif,SOTUMAG,Vêtements,on,oser,rond,considérer,sous,star,aile,97,2023-03-04,1933.17,1439.91,CAT044
119,ART000119,0219467232484,Coca-Cola Chaussures its,DIM1-72,derrière,DIM2-47,sec,SOTUMAG,Bébé & Enfant,précipiter,souffler,happen,above,divers,quel,soit,2,2024-11-01,532.59,368.0,CAT008
120,ART000120,7340312772206,Danone Jus taille,DIM1-87,feel,DIM2-34,oiseau,Amen Bank,Bébé & Enfant,good,animal,autrefois,danser,poète,boire,papa,82,2023-11-22,1880.88,1382.39,CAT007
121,ART000121,5315313636316,Samsung Parfum pay,DIM1-80,arm,DIM2-72,check,Géant,Parfumerie,si,could,hour,passer,sous,expect,intérêt,29,2023-01-25,1297.07,991.96,CAT041
122,ART000122,4217762534926,Philips Café risquer,DIM1-84,cause,DIM2-53,tough,Yazaki Tunisia,Vêtements,training,santé,third,family,nul,étonner,leader,6,2024-11-23,1892.79,1512.69,CAT020
123,ART000123,9060078068679,Apple Réfrigérateur parti,DIM1-31,effect,DIM2-69,répandre,Leoni AG,Bébé & Enfant,vide,discover,lien,edge,aile,relationship,color,59,2024-10-28,745.17,550.9,CAT048
124,ART000124,7726257016580,IKEA Yaourt gauche,DIM1-76,soldier,DIM2-96,save,Leoni AG,Informatique,vaste,soleil,simply,produire,view,chose,history,84,2024-04-25,202.55,146.47,CAT032
125,ART000125,5528183253815,Samsung Livre sing,DIM1-89,enfoncer,DIM2-48,head,Tunisie Telecom,Téléphonie,most,factor,beau,hair,mention,perte,live,57,2024-09-13,1901.36,1178.6,CAT024
126,ART000126,3711624112419,Bosch Jus pourtant,DIM1-70,du,DIM2-83,fumée,Aziza,Boissons,rest,pièce,kitchen,sing,front,battre,entrer,51,2023-11-16,555.38,438.64,CAT008
127,ART000127,5798877492428,Apple Pantalon dream,DIM1-85,hot,DIM2-28,speech,Arab Tunisian Bank,Alimentation,couvrir,feel,compare,vrai,court,voler,début,7,2023-04-01,1574.66,1256.21,CAT016
128,ART000128,5927452380557,Sony Pain main,DIM1-9,notice,DIM2-98,quinze,STB,Électroménager,campaign,mon,special,passion,clearly,réel,radio,76,2024-01-04,435.82,290.13,CAT015
129,ART000129,9297517028141,Nestlé Machine à laver moi,DIM1-77,par,DIM2-1,best,Monoprix,Vêtements,around,rouge,fleur,an,rapidement,research,principe,17,2023-06-01,1082.73,673.44,CAT012
130,ART000130,5998056265656,LG Smartphone fort,DIM1-2,have,DIM2-46,like,Orange Tunisie,Maroquinerie,elle,site,suggest,fight,notre,chair,couper,42,2023-08-24,36.48,22.27,CAT017
131,ART000131,8519610646284,IKEA Thé see,DIM1-68,douter,DIM2-15,marcher,SOTUMAG,Jouets,once,and,they,minute,door,absolu,fait,58,2024-05-12,1557.14,1119.17,CAT033
